id,title,genre,production_company
211672,Minions,Family,Universal Pictures
297762,Wonder Woman,Action,Warner Bros.
321612,Beauty and the Beast,Family,Walt Disney Pictures
339403,Baby Driver,Action,TriStar Pictures
177572,Big Hero 6,Adventure,Walt Disney Pictures
293660,Deadpool,Action,Twentieth Century Fox Film Corporation
283995,Guardians of the Galaxy Vol. 2,Action,Walt Disney Pictures
19995,Avatar,Action,Twentieth Century Fox Film Corporation
245891,John Wick,Action,Summit Entertainment
210577,Gone Girl,Mystery,Twentieth Century Fox Film Corporation
131631,The Hunger Games: Mockingjay - Part 1,Science Fiction,Lionsgate
281338,War for the Planet of the Apes,Drama,Chernin Entertainment
271110,Captain America: Civil War,Adventure,Marvel Studios
680,Pulp Fiction,Thriller,Miramax Films
166426,Pirates of the Caribbean: Dead Men Tell No Tales,Adventure,Walt Disney Pictures
155,The Dark Knight,Drama,Warner Bros.
78,Blade Runner,Science Fiction,Warner Bros.
24428,The Avengers,Science Fiction,Paramount Pictures
268531,Captain Underpants: The First Epic Movie,Action,DreamWorks Animation
339988,The Circle,Drama,Likely Story
198663,The Maze Runner,Action,Twentieth Century Fox Film Corporation
119450,Dawn of the Planet of the Apes,Science Fiction,Ingenious Media
126889,Alien: Covenant,Horror,Twentieth Century Fox Film Corporation
315837,Ghost in the Shell,Action,Paramount Pictures
244786,Whiplash,Drama,Bold Films
550,Fight Club,Drama,Twentieth Century Fox Film Corporation
263115,Logan,Action,Twentieth Century Fox Film Corporation
118340,Guardians of the Galaxy,Action,Marvel Studios
403119,47 Meters Down,Drama,Dimension Films
278,The Shawshank Redemption,Drama,Warner Bros.
353491,The Dark Tower,Action,Imagine Entertainment
324552,John Wick: Chapter 2,Thriller,Thunder Road Pictures
337339,The Fate of the Furious,Action,Universal Pictures
13,Forrest Gump,Comedy,Paramount Pictures
22,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,Walt Disney Pictures
258489,The Legend of Tarzan,Action,Village Roadshow Pictures
274857,King Arthur: Legend of the Sword,Action,Village Roadshow Pictures
284052,Doctor Strange,Action,Walt Disney Pictures
297761,Suicide Squad,Action,DC Comics
11,Star Wars,Adventure,Lucasfilm
214756,Ted 2,Comedy,Universal Pictures
424,Schindlers List,Drama,Universal Pictures
61791,Rise of the Planet of the Apes,Thriller,Ingenious Film Partners
294254,Maze Runner: The Scorch Trials,Action,Gotham Group
238,The Godfather,Drama,Paramount Pictures
259316,Fantastic Beasts and Where to Find Them,Adventure,Heyday films
129,Spirited Away,Fantasy,Studio Ghibli
395834,Wind River,Action,Thunder Road Pictures
291805,Now You See Me 2,Action,Summit Entertainment
637,Life Is Beautiful,Comedy,Miramax Films
335988,Transformers: The Last Knight,Action,Paramount Pictures
397837,Before I Fall,Mystery,Jon Shestack Productions
671,Harry Potter and the Philosophers Stone,Adventure,Warner Bros.
99861,Avengers: Age of Ultron,Action,Marvel Studios
419430,Get Out,Mystery,Blumhouse Productions
539,Psycho,Drama,Paramount Pictures
228150,Fury,War,Columbia Pictures
324852,Despicable Me 3,Action,Illumination Entertainment
240,The Godfather: Part II,Drama,Paramount Pictures
330459,Rogue One: A Star Wars Story,Action,Lucasfilm
240832,Lucy,Action,Universal Pictures
395992,Life,Horror,Columbia Pictures
283366,Miss Peregrines Home for Peculiar Children,Drama,Ingenious Media
399019,The Beguiled,Drama,American Zoetrope
339846,Baywatch,Action,Paramount Pictures
510,One Flew Over the Cuckoos Nest,Drama,Warner Bros.
76338,Thor: The Dark World,Action,Marvel Studios
19404,Dilwale Dulhania Le Jayenge,Comedy,Yash Raj Films
296096,Me Before You,Drama,New Line Cinema
296096,Me Before You,Drama,New Line Cinema
15206,The Mother of Tears,Horror,Myriad Pictures
24021,The Twilight Saga: Eclipse,Adventure,Summit Entertainment
68726,Pacific Rim,Action,Legendary Pictures
282035,The Mummy,Thriller,Universal Pictures
378236,The Emoji Movie,Comedy,Columbia Pictures
312221,Creed,Drama,New Line Cinema
603,The Matrix,Action,Village Roadshow Pictures
216015,Fifty Shades of Grey,Drama,Focus Features
135397,Jurassic World,Action,Universal Studios
157336,Interstellar,Adventure,Paramount Pictures
120,The Lord of the Rings: The Fellowship of the Ring,Adventure,WingNut Films
137113,Edge of Tomorrow,Action,Village Roadshow Pictures
122917,The Hobbit: The Battle of the Five Armies,Action,WingNut Films
140607,Star Wars: The Force Awakens,Action,Lucasfilm
205596,The Imitation Game,History,Black Bear Pictures
209112,Batman v Superman: Dawn of Justice,Action,DC Comics
285,Pirates of the Caribbean: At Worlds End,Adventure,Walt Disney Pictures
195590,Collide,Thriller,Silver Pictures
8966,Twilight,Adventure,Summit Entertainment
1930,The Amazing Spider-Man,Action,Columbia Pictures
374720,Dunkirk,Action,Warner Bros.
329865,Arrival,Thriller,Paramount Pictures
76203,12 Years a Slave,Drama,Plan B Entertainment
198184,Chappie,Crime,Columbia Pictures
87101,Terminator Genisys,Science Fiction,Paramount Pictures
18239,The Twilight Saga: New Moon,Adventure,Summit Entertainment
672,Harry Potter and the Chamber of Secrets,Adventure,Warner Bros.
58,Pirates of the Caribbean: Dead Mans Chest,Adventure,Walt Disney Pictures
293167,Kong: Skull Island,Action,Legendary Pictures
121,The Lord of the Rings: The Two Towers,Adventure,WingNut Films
